,objid,ra,dec,petroRad_g,group
64,587724240161603682,61.76933895,-6.56729129,13.494713,train
65,587724240689037353,40.06716822,-8.77695339,30.004692,train
66,587724240690675821,43.94385069,-8.40877514,15.285463,train
67,587724240697098381,58.50397474,-6.43534401,9.39499,test
68,587724241224663154,37.24658588,-8.5155254,18.580107,train
69,587724241226170416,40.74926228,-8.28949763,28.239155,valid
70,587724241229512834,48.32516591,-7.49510251,14.222101,train
71,587724241230037003,49.47262554,-7.29781121,26.470289,test
72,587724241767301229,50.41658156,-6.63561364,12.444091,train
73,587724241769070690,54.49527562,-6.27062685,29.876245,test
74,587724242303058069,47.75576234,-6.53346027,12.369552,train
75,587724648181989385,176.94159767,-3.31990644,13.897427,test
76,587724648188215315,191.24259887,-3.39650845,14.195547,train
77,587724648191819954,199.56614793,-3.30360365,6.29364,test
78,587724648720040138,179.7900104,-2.92877641,6.480893,train
79,587724648725610658,192.43613277,-2.97402512,18.032204,test
80,587724648728625314,199.38165085,-2.90288793,8.894118,train
81,587724648729215102,200.64870685,-2.97621298,11.743215,train
82,587724649254223913,173.59719058,-2.52932595,19.183386,train
83,587724649254420681,174.0448813,-2.5279486,9.977313,test
84,587724649255272543,176.01636058,-2.55837706,21.697798,test
85,587724649793716359,179.59908434,-2.27736522,34.753796,train
86,587724649794240676,180.69635937,-2.15565458,11.203479,train
87,587724649799614469,192.9834624,-2.07755606,14.972992,train
88,587724650329079911,176.05256621,-1.83998565,9.65062,valid
89,587725039014379682,171.35433385,-3.60070074,5.67166,valid
90,587725039017197738,177.79730777,-3.66946183,8.947844,train
91,587725039019950218,184.03553208,-3.57013959,25.475958,train
92,587725039020146853,184.57579213,-3.68605213,6.008256,valid
93,587725039021195377,186.9092485,-3.65076177,7.481529,train
94,587725039024013431,193.39374576,-3.69947904,5.655253,train
95,587725039552233654,173.60792684,-3.27070338,8.757489,train
96,587725039554134185,177.98569722,-3.14206257,9.955086,train
97,587725039561277607,194.25245428,-3.17256384,12.980483,test
98,587725039563440143,199.20907576,-3.06272545,14.704156,train
99,587725039819489424,170.94661046,-3.15254736,6.45183,train
100,587725040095330473,187.82243216,-2.73824843,8.749707,train
101,587725040098083033,194.1774333,-2.87105484,7.669595,train
102,587725040634364147,192.84039982,-2.37952515,8.053609,train
103,587725041165271214,179.13220135,-1.88501436,11.621117,test
104,587725041168089234,185.63902455,-2.02551135,9.371126,train
105,587725041700634635,175.6488301,-1.54417401,10.116726,test
106,587725041708695710,194.08632137,-1.56880039,11.517933,train
107,587725073918132295,138.77628644,-0.71839662,22.377075,train
108,587725074451464611,130.65275259,-0.23097146,12.168341,train
109,587725074994692275,145.21877667,0.14704188,9.086142,valid
110,587725075528220929,137.56299651,0.56046682,9.47424,test
111,587725075529793760,141.12203169,0.60345759,8.198776,test
112,587725075530580154,142.92817112,0.59356309,10.037679,train
113,587725076069154984,146.84078558,0.886239,14.60623,test
114,587725469593174252,124.74070042,46.35626655,12.640519,test
115,587725469597302968,134.47927272,53.35885539,10.18429,valid
116,587725469600448626,144.20588688,57.99210732,11.899302,train
117,587725469601104018,146.63289358,58.90318573,7.347743,valid
118,587725470129782832,123.82028654,46.0752463,13.523623,train
119,587725470130045191,124.49922611,46.57075578,18.686668,train
120,587725470131224792,126.81573955,48.72072905,8.78508,valid
121,587725470136991937,142.78534467,57.97987046,9.653767,test
122,587725470663377157,117.41037545,40.18633298,14.533186,train
123,587725470673404001,140.6797349,57.51776583,14.754891,train
124,587725471207587940,132.14767239,53.69252466,8.171627,train
125,587725473343996079,152.12969993,60.20323329,11.966584,valid
126,587725473345372324,158.0103785,61.63601256,7.78265,test
127,587725474956771483,160.41472942,63.4945993,13.415272,train
128,587725490524520682,255.84836027,60.44486358,12.343944,train
129,587725490525045016,256.63583258,59.23390288,8.833648,test
130,587725490525438045,257.33004971,58.47112025,10.563551,train
131,587725490525503670,257.51362306,58.2719984,7.860816,train
132,587725490527142177,259.71244557,54.7531268,9.229396,test
133,587725490527404227,259.98696761,54.29032426,12.07597,test
134,587725491062112594,257.60988545,58.94211182,8.868804,train
135,587725491062309199,257.8893339,58.55253424,12.944105,train
136,587725491597672725,256.3971002,61.96903313,5.581345,test
137,587725491598917859,258.49891359,59.3384301,13.628401,test
138,587725491599311220,259.15605344,58.41189792,21.443913,test
139,587725492672266595,259.29140029,60.34912271,8.083474,train
140,587725504482574464,256.05973089,62.04279587,9.124348,train
141,587725504484933977,259.39662123,56.7750226,11.861239,train
142,587725550136328325,171.33253449,65.6509968,6.899259,train
143,587725550654128356,114.08602647,36.88811137,15.00484,test
144,587725550659633214,123.10700102,47.54257889,14.991058,valid
145,587725550678638758,201.97684625,65.84193586,19.077055,train
146,587725550679294086,205.36577299,65.31065751,14.056591,valid
147,587725551191458216,114.23729926,38.00358351,13.583961,test
148,587725551196307754,122.39803719,47.34127303,18.146629,test
149,587725551198929066,127.95935349,52.16050768,10.844041,test
150,587725551199256712,128.68770329,52.71568075,20.822683,train
151,587725551199780967,129.80401372,53.62351375,21.563347,train
152,587725551203057809,139.34904169,59.05197285,8.285975,train
153,587725551208104053,160.53954992,65.10153659,8.244155,train
154,587725551212494919,184.75575639,67.14508502,12.04884,train
155,587725551731540222,118.79824138,44.38214654,10.976207,test
156,587725551738683429,134.88973102,57.34189987,11.226294,train
157,587725551746285596,166.77882706,66.58457232,11.358677,test
158,587725551748907113,182.08548637,67.6539885,8.952532,train
159,587725552264675555,112.59570299,37.37518773,14.958209,valid
160,587725552805740776,118.71613136,45.82250474,13.152049,test
161,587725552808165649,123.20972175,50.34871579,10.015224,train
162,587725552810262703,127.8483724,54.24044893,7.889321,test
163,587725552810459154,128.35677806,54.55908111,9.061696,train
164,587725552811442298,131.04134828,56.25692632,12.353276,train
165,587725552817602637,153.75180163,65.13992551,30.688034,train
166,587725552827564188,211.05095101,66.2096719,9.557532,train
167,587725575886733399,257.71937005,63.35270973,19.626759,train
168,587725576425177410,260.67131894,60.01069657,22.664698,train
169,587725576425832622,261.60764569,58.58885616,12.43101,train
170,587725578036183361,263.4071261,59.49779309,14.967471,train
171,587725578037362974,264.88884503,56.93842372,7.151039,valid
172,587725589310865732,261.27196337,58.15296361,10.779442,test
173,587725590921937245,264.23007125,57.46219935,8.546612,valid
174,587725773457260674,117.7296073,41.31177842,15.87288,test
175,587725773992427843,114.75304962,38.1277475,13.250566,train
176,587725773993410888,116.1841878,40.04231331,6.833644,train
177,587725773995507930,119.61150074,44.04624504,9.851869,test
178,587725774531657955,117.89845484,42.88010569,23.941441,train
179,587725775068070062,116.74257278,42.32096626,10.46862,valid
180,587725775602385217,112.47625481,37.45177087,20.483833,train
181,587725775603826784,114.5265056,40.23403349,10.176791,train
182,587725775606644913,118.91730705,45.94295243,14.06525,valid
183,587725816408637556,158.04848838,64.10893723,6.840924,train
184,587725816420827347,221.67065197,61.55059075,8.417507,train
185,587725816940200075,137.09909625,57.44319674,11.429963,test
186,587725816942624964,145.3039023,61.06131034,25.418867,train
187,587725816958419090,224.70858167,60.98931056,9.300636,train
188,587725816960712788,232.65613211,57.66040392,10.657031,train
189,587725816961171597,234.23492604,56.9678149,9.658901,test
190,587725816961171600,234.19282452,56.93341611,15.556251,test
191,587725816964251809,242.27951093,51.59683675,13.152572,test
192,587725817485263000,172.61241869,66.97394209,6.428677,train
193,587725817489391744,196.96329853,66.90179724,7.505198,train
194,587725817493651576,218.68969639,63.49316332,12.727812,valid
195,587725818019119154,156.34853108,64.99870001,12.110301,train
196,587725818021085352,166.60521959,66.77326543,6.857854,test
197,587725818021806112,170.56708728,67.18931026,10.048716,train
198,587725818027376894,203.53941984,66.63415505,8.217795,valid
199,587725818032160967,226.07818194,61.68739249,5.747341,valid
200,587725818034978945,235.44945236,57.46991943,10.360064,train
201,587725818037731481,242.85503928,52.75747987,11.193678,train
202,587725818552058084,139.4274389,60.49818349,5.758521,train
203,587725818552385730,140.65906156,60.8654496,23.410255,valid
204,587725818554286214,148.09152074,63.41082948,10.436502,test
205,587725818562412625,192.90828255,68.12424246,8.55757,train
206,587725819090108533,143.20524571,62.33676019,19.78746,train
207,587725819094827146,165.88089974,67.52770806,9.098616,test
208,587725980153872527,132.30780559,54.86482335,14.780649,test
209,587725980689105076,127.67200563,52.30067946,26.37735,test
210,587725980690153569,130.05819772,54.16238663,11.058017,train
211,587725981226565871,128.49400043,53.71101408,14.835431,train
212,587725981227548754,131.01101052,55.23169288,18.390108,valid
213,587725992500199478,248.69170345,45.32431812,22.492634,train
214,587725993040347478,254.4716437,39.09773663,7.083722,valid
215,587725993573941525,249.5052206,45.74016943,9.254426,train
216,587725993574006986,249.63940418,45.62919855,15.98969,valid
217,587725993574072649,249.83588251,45.43555112,15.234789,train
218,587725993576235371,253.5927694,41.33545362,24.803101,train
219,587725993576300903,253.72077509,41.203821,15.471519,train
220,587725993577545914,255.41546792,38.75042986,9.557829,valid
221,587725994112844170,253.61853371,41.97066398,9.414275,test
222,587725994650042688,254.61745846,41.67767599,11.130117,train
223,587725994650501397,255.2163546,40.70076324,12.48373,train
224,587725994651156790,256.11707153,39.34794411,9.542374,test
225,587726013995024533,179.63729452,1.50331959,5.824914,valid
226,587726013998235857,187.00685289,1.60819535,7.11091,train
227,587726014005444735,203.36059627,1.44736991,6.221431,train
228,587726014014947462,225.16384629,1.03095224,12.924276,train
229,587726014539038844,195.92979035,1.9875807,14.265112,test
230,587726014540480722,199.27064113,1.82800358,13.192838,test
231,587726014544478345,208.34081823,1.86649914,7.219891,test
232,587726014546706638,213.47791362,1.73103741,12.469769,test
233,587726014547034302,214.20244045,1.75963445,10.96108,train
234,587726014548869429,218.38601752,1.56186963,9.02463,train
235,587726015075123359,194.16506481,2.33654023,11.723934,train
236,587726015078268950,201.31279648,2.3463691,8.332795,train
237,587726015080628399,206.73826398,2.11449172,13.862997,test
238,587726015081480350,208.67613067,2.26802083,9.905378,test
239,587726015086854328,220.95547809,1.92599891,18.450657,test
240,587726015088754891,225.33649689,1.76211817,16.707085,test
241,587726015089868893,227.84407036,1.71620518,11.051416,valid
242,587726015090327890,228.94241103,1.76292381,6.305863,train
243,587726015091704141,232.04987144,1.65546362,8.654372,train
244,587726015092097281,232.87767829,1.53026245,14.002561,train
245,587726015607013486,182.73336813,2.79457764,11.931659,train
246,587726015613108356,196.71622249,2.76931918,9.994065,train
247,587726015621497043,215.94123982,2.41106342,9.949531,test
248,587726015626609011,227.64038897,2.24299839,16.037361,test
249,587726015627919702,230.56713703,2.06649768,13.224227,test
250,587726015628575074,232.08753121,1.96203802,10.077967,train
251,587726016145653902,186.88011722,3.25972177,15.315252,test
252,587726016146243767,188.20740307,3.2998957,23.352774,test
253,587726016148471931,193.24010089,3.2954782,11.248295,valid
254,587726016150700216,198.40098929,3.15073744,7.83107,test
255,587726016151027756,199.14933819,3.06439107,15.506183,test
256,587726016153124929,203.95103494,2.99892707,23.744267,train
257,587726016161775922,223.7637876,2.70927541,21.448895,train
258,587726016164790659,230.64275499,2.52600305,13.478472,test
259,587726016691961925,208.42466234,3.37740641,22.797955,train
260,587726031168143415,164.7744067,1.1820594,16.788784,valid
261,587726031171027019,171.38742978,1.22674443,9.817867,valid
262,587726031174762518,179.85257042,1.43406203,16.299438,valid
263,587726031175680064,181.92738818,1.42125403,8.197845,train
264,587726031175680105,181.99997519,1.39593266,14.537565,train
265,587726031179481195,190.66968522,1.34578037,31.578503,test
266,587726031188066455,210.32548662,1.16854915,6.215322,test
267,587726031695970537,144.16333655,1.2503518,10.775075,train
268,587726031698657312,150.20058637,1.23712886,20.934973,train
269,587726031708422303,172.6262372,1.6663311,10.883047,train
270,587726031708684463,173.22029881,1.81400942,16.836893,train
271,587726031725920357,212.48175832,1.47678175,9.715395,valid
272,587726032234348650,147.60864751,1.5825219,19.822657,train
273,587726032234479818,147.87758118,1.69059698,9.35313,test
274,587726032238674086,157.42140874,1.92002448,13.708072,test
275,587726032246079506,174.29554627,2.12669722,12.218154,test
276,587726032764403983,131.95082098,1.53447364,14.329263,valid
277,587726032771481685,148.12363518,2.15444997,24.400745,train
278,587726032773447828,152.58758427,2.22753819,10.259666,train
279,587726032773447847,152.61610548,2.22822687,18.857964,train
280,587726032775217335,156.66798084,2.36389322,12.39564,train
281,587726032777576639,162.05929582,2.37402496,5.464077,train
282,587726032784064687,176.96955426,2.56695717,12.37621,train
283,587726032794353786,200.40231092,2.60871302,9.42979,train
284,587726032796713181,205.84258637,2.34729285,12.664936,test
285,587726032804774040,224.28618952,2.03435308,10.521397,train
286,587726033306583232,144.04804659,2.4385677,9.066614,test
287,587726033316675714,167.10542955,2.97732175,16.242691,train
288,587726033317527673,169.07208862,2.88884967,18.714819,train
289,587726033318641811,171.60875713,2.93274146,16.974911,valid
290,587726033320149047,175.08085073,3.00079904,18.935745,train
291,587726033321984022,179.26894132,3.0649066,7.708431,train
292,587726033333256308,205.08807471,2.78649917,5.934295,train
293,587726033340793020,222.26070619,2.4364391,18.74021,train
294,587726033342431349,226.12389142,2.33303245,17.91198,test
295,587726033845747862,149.26781072,2.96611528,6.879005,train
296,587726033849745611,158.45588272,3.25222827,10.609775,valid
297,587726033857347721,175.8694945,3.388666,18.469759,train
298,587726033866784923,197.46288252,3.30928727,9.206617,train
299,587726033872158862,209.72932119,3.25705286,10.226295,train
300,587726100412432418,219.82479121,3.3683527,23.059221,valid
301,587726100948713486,218.45142254,3.95687608,17.111425,valid
302,587726101485912267,219.30546165,4.25558113,11.5557,train
303,587726102020358350,213.80018064,4.87206426,21.942467,train
304,587726102021210244,215.62808436,4.84771662,14.485008,train
305,587726102021668988,216.82184685,4.80274631,25.520432,train
306,587726102025076898,224.55103309,4.38769225,10.037656,test
307,587726102028157192,231.62029097,3.9610336,8.21592,test
308,587726102028288228,231.84133784,4.00988724,19.955082,train
309,587726102561620183,223.8881769,4.77501006,8.510625,train
310,587726877269623092,328.29715304,-9.06383231,8.606987,valid
311,587726877274210457,338.78173093,-9.91585938,11.743997,train
312,587726877802299805,318.68969282,-7.52347399,14.325639,train
313,587726877808001287,331.71371797,-8.94262829,9.796006,train
314,587726877815603308,349.27529036,-10.12252243,12.310382,test
315,587726878340350162,321.40126158,-7.31066954,12.405556,test
316,587726878346182781,334.81701381,-8.76513088,8.101506,train
317,587726878352015499,348.30411866,-9.74679651,8.421661,train
318,587726878872764592,311.31269561,-5.62274737,24.336992,valid
319,587726878879973752,327.81377975,-7.7712856,7.252392,valid
320,587726878882660518,333.92862409,-8.33753991,7.258667,train
321,587726879411142762,314.76128627,-5.78785949,12.804277,train
322,587726879413829948,320.93435717,-6.42083338,9.314082,test
323,587726879416516920,327.05374419,-7.20387287,9.243826,test
324,587726879416647765,327.37257292,-7.1959728,10.59718,train
325,587726879417696526,329.75870008,-7.52648411,7.155309,train
326,587726879418089515,330.64102632,-7.54030357,9.62676,train
327,587726879420121193,335.29115252,-8.05656606,6.358088,train
328,587726879422808232,341.45345273,-8.52753865,14.489491,train
329,587726879424643217,345.75967733,-8.63707563,16.083355,train
330,587726879946441236,311.24789941,-4.77539705,14.274663,test
331,587726879949586722,318.4444481,-5.81705678,14.004951,test
332,587726879953715524,327.90815488,-6.82993011,7.162945,train
333,587726879954567424,329.80902755,-7.00965887,10.591473,valid
334,587726879957713083,337.06606831,-7.73219859,13.129672,train
335,587726879961251942,345.11422984,-8.25198077,9.29602,valid
336,587726879961514159,345.83664912,-8.22115753,14.927227,test
337,587727177917202487,10.70112857,-11.17746875,14.442158,train
338,587727177923428419,25.24212225,-10.51892281,8.1318,test
339,587727177924739178,28.20281772,-10.3791067,14.54985,valid
340,587727178452500610,7.09427354,-10.676905,11.669641,train
341,587727178468229174,43.40123635,-8.64790879,8.688638,test
342,587727178472357921,52.89937896,-7.4980499,11.237317,test
343,587727178982883403,351.93391469,-10.0257421,6.89361,train
344,587727178987339822,2.26973726,-10.32387561,5.853575,test
345,587727178993107146,15.66308199,-10.08816697,8.814297,valid
346,587727178999005237,29.37688051,-9.46237092,17.211599,valid
347,587727179003658263,40.08125067,-8.51350012,16.714891,test
348,587727179003985989,40.8968267,-8.42144341,10.786427,train
349,587727179004117118,41.15918633,-8.31405752,20.099295,train
350,587727179004772430,42.64244135,-8.35206953,17.295614,test
351,587727179005755543,44.90494591,-8.12221795,8.98642,test
352,587727179011850343,58.76978349,-6.2213512,26.816704,valid
353,587727179523162194,359.87960566,-9.9138049,11.643786,train
354,587727179536203780,30.01500281,-8.91865322,7.855626,train
355,587727179541905519,43.18758986,-7.872776,11.220226,test
356,587727179544133815,48.38122818,-7.2836104,11.234792,train
357,587727179547148441,55.17910252,-6.41515832,38.269386,train
358,587727180057673879,354.40132422,-9.40933382,9.734247,train
359,587727180062195851,4.90171734,-9.44535182,14.781296,valid
360,587727180064620686,10.52095465,-9.53443917,16.558105,train
361,587727180069208175,21.16483213,-9.05588406,13.784076,test
362,587727180070584389,24.26477288,-9.00676526,13.427143,train
363,587727180072026195,27.6603754,-8.76364232,15.082186,train
364,587727180594217097,353.73207186,-8.77547467,13.488451,train
365,587727180606079051,21.13009174,-8.68963784,17.438646,train
366,587727180619120774,51.01049628,-5.93441058,13.803071,train
367,587727212274188543,323.67016209,-8.67247911,16.327833,valid
368,587727212276154597,328.27133594,-9.18472514,8.005277,train
369,587727212806603047,313.64221538,-6.95541966,5.130075,train
370,587727212810338623,322.11536794,-8.19317393,9.639374,train
371,587727213343867350,314.4894207,-6.70314035,9.486372,train
372,587727213348978941,326.22052623,-8.06763022,14.845996,valid
373,587727213349634394,327.80392206,-8.3443897,5.423518,valid
374,587727213885981044,326.61506831,-7.67944611,7.391499,train
375,587727214422982975,326.95071987,-7.45866274,11.583885,train
376,587727214957756512,322.16446073,-6.5111517,15.104475,train
377,587727215220425129,309.09780502,-4.61873886,38.268909,test
378,587727220861239499,324.14904122,10.46330761,9.309606,test
379,587727220870545630,345.66793827,13.3290741,13.999988,train
380,587727220870742203,346.16824953,13.23031482,9.126179,test
381,587727220870807812,346.31497182,13.22538875,9.625021,train
382,587727220871790648,348.55495344,13.42637611,31.965626,test
383,587727220875001893,356.12007329,13.82946751,9.760381,test
384,587727220876443843,359.51916816,13.98586592,18.103123,train
385,587727221407678614,346.18413277,13.66141982,12.516685,test
386,587727221409906874,351.45113255,14.05480325,7.276907,train
387,587727221409972460,351.69496165,14.10731946,7.827479,test
388,587727221413118160,359.02517068,14.48555261,9.317102,train
389,587727221413118197,359.0718056,14.31472738,11.052079,test
390,587727221413904560,0.85682448,14.4771431,6.336078,train
391,587727222468313125,315.74067588,10.17739017,7.741901,train
392,587727222473359927,327.43718413,12.2122458,10.865318,train
393,587727222483255513,350.4777186,14.95554385,6.771647,test
394,587727222484762958,354.12371475,15.0164493,16.154573,valid
395,587727222485352468,355.40637862,15.08509477,13.257507,train
396,587727223005184142,315.67818846,10.60746717,6.72166,train
397,587727223018553661,346.79298305,15.00984706,17.848743,test
398,587727223020454037,351.27939805,15.25662026,7.770161,valid
399,587727223022551236,356.16641328,15.57847615,10.696989,valid
400,587727223548281206,329.97238595,13.5798549,23.042423,train
401,587727223554572303,344.64289923,15.17277765,10.4469,train
402,587727223557456100,351.56599883,15.72201488,12.38974,valid
403,587727223558111314,353.10175502,15.84785433,43.640736,test
404,587727223559815423,357.18782973,15.92877231,15.408995,test
405,587727225154764940,3.43827769,-10.93656006,6.840141,train
406,587727225155354652,4.83684183,-10.94412131,17.816322,test
407,587727225155354763,4.79158855,-10.88576923,14.980427,train
408,587727225156730966,7.98653635,-11.01581776,16.190071,train
409,587727225160138847,16.00175875,-10.81699942,8.531371,train
410,587727225161187431,18.40312043,-10.57937504,16.412615,test
411,587727225694388294,9.83387136,-10.48207993,15.457529,train
412,587727225695698974,12.8573742,-10.44572954,10.315166,valid
413,587727225696288894,14.33874659,-10.47419345,5.355868,train
414,587727225698451601,19.32580109,-10.13242155,14.055783,train
415,587727226230931521,9.12051346,-10.10616335,34.658566,train
416,587727226233094186,14.17775494,-9.91386646,47.703293,valid
417,587727226763346092,358.84038119,-9.60657288,9.757486,valid
418,587727226764460180,1.38221397,-9.58368509,8.746984,train
419,587727226765049986,2.750656,-9.6245137,10.264655,train
420,587727226767343762,8.12057109,-9.57721556,8.033237,train
421,587727226772324463,19.62095858,-9.35678555,6.317129,test
422,587727227300348065,359.11607046,-9.3054754,10.662575,train
423,587727227306311792,12.93443046,-9.25109713,7.058027,train
424,587727227843182728,12.81989793,-8.69423952,7.898965,train
425,587727229984964656,23.96285858,-10.00296491,21.090103,train
426,587727229986603140,27.78292007,-9.79203598,20.967875,valid
427,587727229986996271,28.67801577,-9.78292959,9.358725,test
428,587727229986996425,28.70211316,-9.66913111,15.136748,train
429,587727229987192931,29.08036941,-9.69629454,16.025269,train
430,587727230522032238,24.34166867,-9.55880524,11.519122,valid
431,587727231059558503,25.78376548,-8.99134168,15.726465,test
432,587727232134283402,28.12716595,-8.15177311,16.985765,train
433,587727866178961818,114.87300831,32.72402201,7.791771,train
434,587727866183155724,121.83918276,40.39832646,35.125248,valid
435,587727866718454105,118.69279708,37.82867125,10.467127,test
436,587727867252506942,113.75942477,32.82210167,34.541695,train
437,587727867256701059,120.75756962,40.58369421,9.896079,test
438,587727867256701097,120.58786949,40.54397531,10.598625,test
439,587727867260305533,127.89454749,46.89668741,15.96114,train
440,587727874234318960,357.74022815,-10.55044611,10.585577,train
441,587727942952485087,132.440983,1.01053396,13.414136,train
442,587727943489225075,132.10453349,1.50379407,8.758852,train
443,587727943492698312,139.98750923,1.64767043,4.703512,train
444,587727943494926424,145.13400883,1.77649756,8.817729,train
445,587727944029962369,140.9020867,2.13647449,29.864788,train
446,587727944029962495,140.95008842,2.11274836,19.330296,train
447,587727944032780481,147.30146242,2.26994888,11.981299,train
448,587728307484754071,152.62072053,1.11627156,16.41346,train
449,587728307485474917,154.25795466,1.10102686,11.094088,valid
450,587728307490390027,165.41165073,1.41356408,12.800159,train
451,587728308024705218,159.61069192,1.63741796,9.469634,train
452,587728308029882555,171.5042018,1.98413676,25.893999,train
453,587728308031783146,175.82553928,1.95223328,9.348164,train
454,587728308562690180,162.19998733,2.1778599,15.629065,valid
455,587728308565508282,168.61409565,2.21377688,10.249738,train
456,587728309097922563,158.33766569,2.61612781,13.994928,valid
457,587728309098184843,158.95448789,2.47087156,9.33213,valid
458,587728309101068476,165.62794895,2.61846103,15.625091,test
459,587728309101854898,167.38967653,2.74134545,17.672125,train
460,587728309102444777,168.78517754,2.72595656,9.231775,test
461,587728309103165501,170.36138797,2.7467047,10.364318,test
462,587728309104803983,174.12968939,2.7500397,14.195538,train
463,587728309637808276,165.33836385,3.04050715,25.912888,train
464,587728310172319822,159.83619832,3.36923282,9.443553,test
465,587728310174875836,165.77746786,3.4751616,14.680344,train
466,587728310175465544,167.09873209,3.50014781,17.046719,train
467,587728310176972961,170.55460572,3.49054634,8.748227,test
468,587728310178807862,174.7288891,3.58087616,23.308073,train
469,587728668803924162,119.81500052,37.97217485,9.126351,valid
470,587728668807921722,127.58080642,45.07587566,14.111003,valid
471,587728669338829063,116.1056513,34.62742963,9.762949,test
472,587728669874126911,113.40864764,31.7727279,17.321609,test
473,587728669875044796,114.81059702,33.60697087,7.267499,train
474,587728669877535004,118.6088559,38.28301624,11.14584,test
475,587728669882122457,127.63018571,46.40276035,5.891678,valid
476,587728670412440064,115.23592506,34.85256384,5.56245,train
477,587728677392154651,173.48695763,63.7987942,6.896534,test
478,587728677392154801,173.47011668,63.78163737,7.261449,train
479,587728677395497088,190.84925089,64.07547117,7.561223,train
480,587728677929091245,173.68841814,64.30752171,6.936839,test
481,587728677932040359,189.27044088,64.52859031,8.819286,train
482,587728678464716951,167.20705753,64.08759781,12.133051,train
483,587728678466027678,173.92646242,64.79167273,7.923397,test
484,587728678467076249,179.66910412,64.96474641,7.27198,train
485,587728679539245209,170.7788886,65.2518568,23.341249,valid
486,587728679539900537,174.26662528,65.4655659,11.733473,valid
487,587728679540555914,177.72098641,65.77964066,12.665944,train
488,587728879262826670,145.69167227,3.15586178,9.20566,valid
489,587728879801270400,149.24603773,3.81305446,17.380486,train
