objid,ra,dec,hubble,petroR90_g,group
J13401257+02284844,205.05237,2.480122,Sb,22.02,valid
J13521215+02241344,208.05062,2.4037330000000003,Sb,28.97,valid
J15021275+02014876,225.55312,2.030211,Sb,13.5,train
J15123955+01555538,228.16479,1.93205,Sb,43.88,train
J09441038+02243712,146.04325,2.410311,Sb,13.41,train
J11082530+02583834,167.10542,2.977317,Sb,32.53,train
J11161730+02531984,169.07208,2.888844,Sb,25.45,train
J11172530+02581095,169.35542,2.969708,Sb,15.99,train
J11234457+03001876,170.93571,3.005211,Sb,13.6,train
J11514499+03054486,177.93746000000004,3.095794,Sb,10.78,train
J12224960+03061450,185.70667,3.104028,Sb,19.04,test_expert
J12234158+02574055,185.92325,2.961264,Sb,24.79,test_expert
J12551553+02534792,193.81471,2.896644,Sb,19.89,train
J14155882+02423706,213.99508,2.710294,Sb,18.87,valid
J14263210+02450599,216.63375,2.751664,Sb,13.98,test_expert
J15042973+02195890,226.12387,2.333028,Sb,25.79,train
J15080686+02255320,227.02858,2.431444,Sb,75.56,test_expert
J09411562+02491546,145.31508,2.820961,Sb,40.77,valid
J09441790+02493873,146.07458,2.827425,Sb,9.99,train
J10395983+03064424,159.99929,3.112289,Sb,23.38,train
J10514053+03131018,162.91887,3.219494,Sb,15.58,train
J11073337+03151860,166.88904,3.255167,Sb,14.83,valid
J11094836+03240820,167.4515,3.402278,Sb,13.18,train
J11392683+03281607,174.86178999999996,3.471131,Sb,31.29,train
J12253199+03261639,186.38329,3.437886,Sb,13.39,train
J13024192+03211419,195.67467,3.353942,Sb,13.22,train
J13354031+03173529,203.91796,3.293136,Sb,11.5,train
J13425818+03151228,205.74242,3.2534110000000003,Sb,19.82,test_expert
J13473844+03200289,206.91017,3.334136,Sb,18.85,valid
J14140890+03133094,213.53708,3.225261,Sb,10.7,train
J14150801+03064575,213.78337,3.112708,Sb,27.94,train
J14063801+03445551,211.65837,3.748753,Sb,34.99,train
J14263876+03301798,216.6615,3.5049940000000004,Sb,58.49,train
J14344667+03202968,218.69446,3.341578,Sb,12.69,test_expert
J14422128+03161500,220.58867,3.270833,Sb,17.73,test_expert
J14532758+03162202,223.36492,3.272783,Sb,27.04,test_expert
J14540807+03124933,223.53362,3.213703,Sb,7.77,train
J15053060+03051461,226.3775,3.087392,Sb,15.75,train
J14334834+03572473,218.45142,3.956869,Sb,30.56,train
J15121992+03182668,228.083,3.307411,Sb,13.93,train
J15234537+03144872,230.93904,3.246867,Sb,21.35,train
J14152371+04243069,213.84879,4.408525,Sb,19.67,train
J14155570+04331912,213.98208,4.555311,Sb,10.78,valid
J14173214+04334354,214.38392,4.562094,Sb,69.87,train
J15375165+03271331,234.46521,3.453697,Sb,35.57,train
J14271724+04480985,216.82183,4.802736,Sb,79.44,valid
J14273237+04491780,216.88487,4.821611,Sb,13.0,valid
J15134023+04041724,228.41762000000003,4.071456,Sb,7.62,test_expert
J15272192+04003551,231.84133,4.009864,Sb,77.78,train
J14261060+05152342,216.54417,5.256506,Sb,21.82,test_expert
J21440707-08451628,326.0294600000001,-8.754522,Sb,8.37,train
J22344739-09525446,338.6974600000001,-9.881794,Sb,6.23,train
J22461095-10101879,341.5456200000001,-10.171886,Sb,10.83,train
J22542230-10102589,343.59292,-10.173858,Sb,18.82,train
J22585271-10171485,344.71962,-10.287458,Sb,11.2,train
J20375529-06180023,309.48037,-6.300064,Sb,13.62,test_expert
J21051810-07152595,316.32542,-7.257208,Sb,13.57,test_expert
J21144552-07312452,318.6896700000001,-7.523478,Sb,18.26,valid
J21395911-08073792,324.99629,-8.1272,Sb,16.191,test_expert
J22172601-09070599,334.3583700000001,-9.118331,Sb,8.89,train
J23052990-10014414,346.37458,-10.028928,Sb,10.77,test_expert
J23170607-10072106,349.27529,-10.122517,Sb,17.24,train
J21460052-07532436,326.5021700000001,-7.8901,Sb,19.93,valid
J22233419-08462785,335.89246,-8.774403,Sb,32.14,train
J20421268-05344293,310.55283,-5.578592,Sb,8.28,valid
J22203344-08275557,335.13933,-8.465436,Sb,14.61,valid
J22565088-08580314,344.212,-8.967539,Sb,31.65,valid
J22335427-08194982,338.4761200000001,-8.330506,Sb,28.53,train
J22595317-08450396,344.97154,-8.7511,Sb,5.59,train
J23075659-08440999,346.98579,-8.736108,Sb,19.55,train
J21134666-05490141,318.4444200000001,-5.817058,Sb,17.07,train
J21555695-06533792,328.98729,-6.893867,Sb,9.98,valid
J00295532-11065583,7.4805,-11.115508,Sb,12.73,train
J00300730-11064907,7.530419999999999,-11.113631,Sb,41.83,train
J02572835-09004468,44.36812000000001,-9.012411,Sb,8.93,train
J03101851-08305554,47.57712,-8.515428,Sb,8.39,train
J23183842-10242929,349.66008,-10.408136,Sb,27.39,train
J23271452-10231754,351.8105,-10.388206,Sb,5.94,test_expert
J00032222-10461425,0.8425799999999999,-10.770625,Sb,9.86,test_expert
J00340789-10394593,8.532869999999999,-10.662758,Sb,8.77,test_expert
J00551977-10322748,13.83237,-10.540967,Sb,14.12,train
J01465864-09594039,26.74433,-9.994553,Sb,5.45,valid
J01552959-09594076,28.87329,-9.994656,Sb,11.09,valid
J02444065-08480286,41.16937,-8.800794,Sb,20.4,test_expert
J02474778-08494940,41.94908,-8.830389,Sb,19.92,train
J02501775-08354855,42.57396,-8.596819,Sb,30.06,train
J03153097-08045490,48.87904,-8.081917,Sb,66.87,test_expert
J23172722-10015068,349.36342,-10.030744,Sb,58.02,train
J23443524-10064795,356.14683,-10.113319,Sb,10.32,train
J23545416-10171705,358.7256700000001,-10.288069,Sb,19.24,valid
J00020634-10130679,0.52642,-10.218553,Sb,23.09,valid
J01245817-09563509,21.24237,-9.943081,Sb,11.68,valid
J01340254-09462695,23.51058,-9.774153,Sb,6.78,valid
J01524279-09333625,28.178290000000004,-9.560069,Sb,46.79,test_expert
J01573044-09274454,29.37683,-9.462372,Sb,23.72,valid
J02153435-09053707,33.89312,-9.093631,Sb,47.5,train
J02384946-08331289,39.70608,-8.553581,Sb,12.89,valid
J02403795-08320006,40.15812,-8.53335,Sb,17.85,train
J23282402-09422399,352.10008,-9.706664,Sb,18.16,test_expert
J00474643-09500618,11.94346,-9.83505,Sb,18.59,valid
J01102080-09341028,17.58667,-9.569522,Sb,20.63,test_expert
J01525152-09063517,28.21467,-9.109769,Sb,15.83,train
J03110397-07220222,47.76654,-7.367283,Sb,14.03,train
J03140541-07142712,48.52254,-7.240867,Sb,19.8,valid
J03150969-07150938,48.79037,-7.252606,Sb,7.62,train
J03404298-06245457,55.179080000000006,-6.415158,Sb,75.91,test_expert
J03583890-05483679,59.66208,-5.810219,Sb,13.34,train
J00281787-09293432,7.07446,-9.492867,Sb,59.26,valid
J00455192-09194159,11.46633,-9.328219,Sb,28.91,train
J01231584-09014124,20.816,-9.028122,Sb,22.47,train
J01503848-08454911,27.66033,-8.763641999999999,Sb,14.43,train
J01505017-08451007,27.70904,-8.752797,Sb,43.64,train
J02333181-07460324,38.38254000000001,-7.767567,Sb,13.18,test_expert
J02460679-07380372,41.52829000000001,-7.634367,Sb,10.69,train
J04102359-04470948,62.59829000000001,-4.7859669999999985,Sb,26.61,valid
J00393095-09022284,9.87896,-9.039678,Sb,24.57,valid
J00503701-09040675,12.65421,-9.068542,Sb,17.8,train
J00511849-09011246,12.82704,-9.020128,Sb,12.28,train
J01010271-08484015,15.26129,-8.811153,Sb,20.78,train
J01521597-08143658,28.066540000000003,-8.243494,Sb,4.98,train
J02390663-07215467,39.77762,-7.365186,Sb,11.08,test_expert
J03240251-05560388,51.01046,-5.934411,Sb,25.27,test_expert
J03543043-05055995,58.62679,-5.099986,Sb,12.32,train
J21033305-07133112,315.88771,-7.225311,Sb,12.62,train
J20523543-05424004,313.14762,-5.7111220000000005,Sb,58.49,test_expert
J21383167+10362193,324.63196,10.606092,Sb,25.97,train
J22003856+11222759,330.1606700000001,11.374331,Sb,9.92,valid
J21420405+11101994,325.5168700000001,11.172206,Sb,15.17,train
J23221537+14045066,350.56404,14.080739,Sb,11.82,valid
J23292357+14121544,352.34821,14.204289,Sb,31.48,test_expert
J21345825+11174746,323.74271,11.296517,Sb,27.99,valid
J23425509+14451716,355.72954,14.754767,Sb,17.14,train
J00104789+14510128,2.6995400000000003,14.850356,Sb,11.88,train
J21285944+11225715,322.24767,11.382542,Sb,51.08,train
J21315114+11301059,322.96308,11.502942,Sb,21.51,train
J21494492+12124407,327.4371700000001,12.212242,Sb,16.04,test_expert
J22141025+13164383,333.54271,13.278842,Sb,28.94,valid
J23055639+14391851,346.48496,14.655142,Sb,17.24,train
J21402087+12211729,325.0869600000001,12.354803,Sb,22.05,train
J22581249+14505730,344.55204,14.84925,Sb,9.62,valid
J23093106+15002512,347.3794200000001,15.006978,Sb,22.28,valid
J23244935+15163214,351.20562,15.275594,Sb,59.71,train
J23245506+15191963,351.22942,15.322119,Sb,15.64,train
J21113676+11294893,317.9031700000001,11.496925,Sb,9.23,train
J23174752+15332126,349.4480000000001,15.555906,Sb,16.94,train
J23371764+15503733,354.3235,15.843703,Sb,24.55,train
J00401055-10262619,10.04396,-10.440608,Sb,6.7,train
J00512576-10264464,12.85733,-10.445733,Sb,17.22,test_expert
J00413389-10011715,10.39121,-10.021431,Sb,60.22,train
J00500865-10061575,12.53604,-10.104375,Sb,8.03,train
J00110329-09390424,2.76371,-9.651178,Sb,15.22,test_expert
J00394838-09083460,9.95158,-9.142944,Sb,12.97,valid
J00562427-09090285,14.101120000000002,-9.150792,Sb,18.89,test_expert
J00174051-08545817,4.41879,-8.916158,Sb,25.51,test_expert
J00573514-08401069,14.39642,-8.669636,Sb,38.5,train
J01523169-10031390,28.132040000000003,-10.053861,Sb,19.1,train
J01354380-09591885,23.9325,-9.988569,Sb,16.09,test_expert
J01391907-10003612,24.82946,-10.010033,Sb,15.92,valid
J01544272-09465859,28.678,-9.782942,Sb,10.26,train
J01450683-08571920,26.27846,-8.955333,Sb,15.46,train
J01535186-08312969,28.46608,-8.524914,Sb,13.43,valid
J01523051-08090634,28.12712,-8.151761,Sb,23.34,train
J02180874-07571805,34.53642,-7.955014,Sb,8.29,train
J07470094+34180104,116.75392,34.300289,Sb,13.81,train
J08021223+38565479,120.55096,38.948553,Sb,0.0,train
J07541475+37504480,118.56146,37.845778,Sb,8.72,train
J08313469+46534800,127.89454,46.896667,Sb,43.78,test_expert
J23472351-10465145,356.84796,-10.780958,Sb,12.89,train
J23415263-08385348,355.46929,-8.648189,Sb,20.81,train
J02031662-09532635,30.81925,-9.890653,Sb,12.89,valid
J08413783+46473668,130.40762,46.793522,Sb,17.18,train
J09071108+50424609,136.79617,50.712803,Sb,39.71,train
J10522507+59410825,163.10446000000005,59.685625,Sb,20.83,train
